LinkageGroup,SNP,Scaffold,Position,SexAveraged_cM,Female_cM,Male_cM
2,1236,Chr2,2412827,8.73,11.353,6.074
2,1237,Chr2,2679826,9.587,11.95,7.12
2,1240,Chr2,2721575,10.148,12.072,8.209
2,1242,Chr2,2795901,10.448,12.214,8.779
2,1243,Chr2,2833420,10.644,12.491,8.779
2,1244,Chr2,2945042,11.29,13.635,9.174
2,1248,Chr2,3270748,12.234,14.075,10.05
2,1251,Chr2,3531012,12.99,15.68,10.307
2,1254,Chr2,3692601,14.142,16.995,11.275
2,1255,Chr2,3762256,14.34,17.217,11.444
2,1256,Chr2,3957013,15.07,17.964,12.164
2,1259,Chr2,4080480,15.674,18.611,12.751
2,1261,Chr2,4135936,15.89,18.966,12.751
2,1266,Chr2,4496690,17.364,19.895,14.974
2,1262,Chr2,4293193,17.743,20.52,14.974
2,1264,Chr2,4309362,17.886,20.777,14.974
2,1267,Chr2,4538084,18.412,21.493,15.418
2,1268,Chr2,4584079,18.646,21.493,15.743
2,1274,Chr2,4731913,19.996,22.959,17.224
2,1275,Chr2,4848775,20.566,22.959,18.063
2,1279,Chr2,4950715,21.534,24.334,18.747
2,1282,Chr2,4999841,22.002,24.508,19.462
2,1281,Chr2,4984459,22.109,24.664,19.462
2,1283,Chr2,5125028,22.78,25.018,20.502
2,1284,Chr2,5249512,23.524,25.644,21.398
2,1286,Chr2,5538411,25.785,27.676,23.921
2,1287,Chr2,5740112,26.944,28.321,25.54
2,1289,Chr2,5794522,27.132,28.695,25.65
2,1295,Chr2,5925990,27.312,28.721,25.805
2,1300,Chr2,6656073,29.275,30.692,27.878
2,1303,Chr2,6875242,30.057,31.209,28.904
2,1304,Chr2,7342656,31.768,33.02,30.466
2,1307,Chr2,7574801,32.476,33.813,31.04
2,1313,Chr2,7806058,33.596,34.631,32.528
2,1315,Chr2,7995757,34.1,35.367,32.944
2,1317,Chr2,8195615,35.512,36.817,34.34
2,1319,Chr2,8474428,36.038,36.817,35.103
2,1320,Chr2,9248578,38.46,39.797,37.159
2,1321,Chr2,9382140,38.621,39.797,37.451
2,1322,Chr2,9540135,39.218,39.876,38.105
2,1324,Chr2,10149275,39.812,41.117,38.528
2,1327,Chr2,10396166,40.352,41.117,39.357
2,1328,Chr2,10538636,40.726,41.75,39.565
2,1329,Chr2,10639064,41.043,42.505,39.565
2,1332,Chr2,10762949,41.979,43.55,40.224
2,1334,Chr2,11320102,42.42,43.885,40.98
2,1336,Chr2,11592943,42.967,44.784,40.98
2,1337,Chr2,11722121,43.394,45.187,41.517
2,1339,Chr2,11912618,43.705,45.596,41.74
2,1341,Chr2,12047904,44.009,45.898,42.154
2,1342,Chr2,13175317,44.981,47.813,42.366
2,1347,Chr2,14137079,45.986,48.581,43.405
2,1343,Chr2,13408351,46.109,48.581,43.648
2,1345,Chr2,13727089,46.37,48.914,43.758
2,1352,Chr2,14773744,47.041,49.601,44.466
2,1353,Chr2,15072477,47.444,49.872,44.971
2,1356,Chr2,15317638,47.807,50.462,45.101
2,1359,Chr2,15445553,48.093,50.578,45.578
2,1357,Chr2,15395538,48.165,50.667,45.578
2,1363,Chr2,15553458,48.537,50.993,46.04
2,1362,Chr2,15527925,48.537,50.993,46.04
2,1367,Chr2,15946067,48.914,51.18,46.714
2,1368,Chr2,16063534,49.098,51.345,46.714
2,1369,Chr2,16525476,49.556,51.538,47.522
2,1373,Chr2,17086405,50.205,52.369,48.008
2,1374,Chr2,17359850,50.547,52.369,48.801
2,1380,Chr2,18142718,51.63,52.943,50.3
2,1381,Chr2,19052296,52.039,53.411,50.702
2,1382,Chr2,19268069,52.314,53.432,51.079
2,1387,Chr2,20508921,53.107,54.26,51.901
2,1386,Chr2,20244985,53.195,54.26,52.114
2,1389,Chr2,20753031,53.64,54.5,52.755
2,1393,Chr2,21102054,54,54.872,53.138
2,1394,Chr2,21947484,54.385,54.872,53.799
2,1397,Chr2,22332900,54.503,54.872,54.02
2,1399,Chr2,22561742,54.647,55.191,54.104
2,1400,Chr2,22863130,54.75,55.287,54.208
2,1402,Chr2,23916736,55.693,56.097,55.321
2,1404,Chr2,24274320,55.881,56.153,55.615
2,1405,Chr2,32994867,56.089,56.251,55.923
2,1465,Chr2,34126925,56.433,56.251,56.576
2,1408,Chr2,33440175,56.527,56.402,56.576
2,1468,Chr2,35158274,57.256,57.199,57.302
2,1473,Chr2,31929384,59.025,58.443,59.548
2,1480,Chr2,39827781,59.796,59.332,60.221
2,1477,Chr2,39764300,59.796,59.332,60.221
2,1484,Chr2,40319637,60.176,59.927,60.465
2,1488,Chr2,40995580,60.768,60.224,61.332
2,1489,Chr2,41176620,60.943,60.254,61.551
2,1491,Chr2,41409913,61.09,60.446,61.714
2,1494,Chr2,41553469,61.295,60.627,61.969
2,1495,Chr2,41825291,61.466,60.821,62.107
2,1497,Chr2,42260735,62.042,61.556,62.51
2,1500,Chr2,42551257,62.167,61.556,62.832
2,1501,Chr2,42777103,62.429,61.556,63.282
2,1503,Chr2,43840078,63.062,62.589,63.602
2,1504,Chr2,44139505,63.308,62.989,63.602
2,1507,Chr2,45928786,64.446,63.786,65.143
2,1511,Chr2,47046765,65.057,64.601,65.595
2,1514,Chr2,47306684,65.394,64.601,66.153
2,1518,Chr2,47930111,65.919,65.166,66.62
2,1519,Chr2,48469208,66.126,65.59,66.757
2,1520,Chr2,48997672,66.49,65.59,67.303
2,1524,Chr2,49774080,67.17,66.575,67.767
2,1526,Chr2,50919803,68.098,67.332,68.837
2,1531,Chr2,51534364,68.52,67.73,69.276
2,1535,Chr2,51911693,68.797,68.03,69.517
2,1536,Chr2,52314372,69.308,68.479,70.074
2,1537,Chr2,53010920,69.894,68.789,70.916
2,1539,Chr2,53775523,70.554,69.096,72.07
2,1542,Chr2,54530722,71.174,69.822,72.543
2,1545,Chr2,55558993,72.216,70.451,73.976
2,1550,Chr2,56364058,73.289,71.243,75.426
2,1554,Chr2,56459536,73.513,71.243,75.792
2,1563,Chr2,56973069,74.652,71.742,77.58
2,1568,Chr2,57398582,75.04,71.888,78.182
2,1566,Chr2,57191222,75.527,71.888,78.981
2,1577,Chr2,58208940,75.907,72.339,79.534
2,1409,Chr2,59352584,77.788,74.28,81.35
2,1411,Chr2,59819205,78.246,74.28,82.195
2,1415,Chr2,61038045,79.254,75.317,83.212
2,1419,Chr2,61707631,80.29,75.818,84.833
2,1426,Chr2,61967003,80.643,75.942,85.417
2,1425,Chr2,61912703,80.731,75.942,85.599
2,1428,Chr2,62242982,81.315,75.942,86.722
2,1422,Chr2,61771276,81.801,76.16,87.451
2,1436,Chr2,64459448,83.724,76.375,91.289
2,1609,Chr2,69015080,83.955,76.402,91.722
2,1606,Chr2,69852008,85.262,76.528,94.29
2,1603,Chr2,71275238,88.044,77.088,99.395
2,1602,Chr2,71422412,88.599,77.088,100.504
2,1600,Chr2,71652077,88.95,77.263,101.093
2,1599,Chr2,71786958,89.365,77.753,101.343
2,1598,Chr2,72266151,90.348,77.753,103.367
2,1595,Chr2,72914193,91.966,78.565,105.823
2,1593,Chr2,73598981,93.126,79.153,107.663
2,1592,Chr2,74419227,94.595,79.48,110.322
2,1588,Chr2,74771225,95.26,79.756,111.34
2,1587,Chr2,75052357,95.461,79.756,111.778
2,1586,Chr2,75070877,95.504,79.756,111.865
2,1583,Chr2,75778352,96.202,80.129,112.917
2,1581,Chr2,76400431,97.026,80.479,114.209
2,1580,Chr2,76557802,97.654,81.045,114.82
2,1579,Chr2,76718672,98.099,81.045,115.68
2,1574,Chr2,76905469,98.511,81.272,116.339
2,1571,Chr2,77065662,98.742,81.54,116.578
2,1564,Chr2,77982688,100.021,82.39,118.316
2,1562,Chr2,78154828,100.218,82.39,118.646
2,1548,Chr2,78931487,101.041,83.529,119.34
2,1546,Chr2,79126042,101.258,83.72,119.34
2,1461,Chr2,79730154,102.1,83.983,120.79
2,1463,Chr2,79215200,102.1,83.983,120.79
2,1462,Chr2,79648180,102.186,84.118,120.79
2,1458,Chr2,79805947,102.473,84.567,121.02
2,1456,Chr2,80097012,102.832,84.775,121.453
2,1454,Chr2,80833903,103.72,85.942,122.185
2,1452,Chr2,81148731,104.359,85.942,123.377
2,1449,Chr2,82142302,105.595,87.096,125.063
2,1450,Chr2,82129135,105.689,87.096,125.337
2,1445,Chr2,83387328,106.821,88.801,125.389
2,1440,Chr2,84868589,107.247,89.531,125.736
2,1439,Chr2,86633059,108.057,91.152,125.736
2,1431,Chr2,88874658,109.093,93.269,125.736
2,1432,Chr2,88421856,109.173,93.427,125.736
2,1420,Chr2,90159053,110.201,94.686,126.408
2,1423,Chr2,90014814,110.201,94.686,126.408
2,1613,Chr2,92866696,111.705,97.243,126.846
2,1616,Chr2,93393640,111.906,97.414,127.087
2,1617,Chr2,93892580,112.288,97.801,127.523
2,1626,Chr2,95960927,113.455,99.833,127.799
2,1630,Chr2,98132794,113.715,100.138,127.991
2,1631,Chr2,98361471,113.78,100.273,127.991
2,1633,Chr2,98889247,114.215,100.663,128.456
2,1635,Chr2,99448392,114.511,101.301,128.456
2,1634,Chr2,99365489,114.722,101.637,128.456
2,1637,Chr2,100160723,115.39,102.411,129.073
2,1640,Chr2,101059565,116.46,103.681,130.037
2,1641,Chr2,101444919,116.755,103.937,130.116
2,1642,Chr2,102425323,117.322,104.105,131.152
2,1643,Chr2,102495680,117.656,104.861,131.335
2,1644,Chr2,103588105,118.522,105.651,132.132
2,1647,Chr2,104504494,119.001,106.294,132.299
2,1648,Chr2,105349798,119.833,107.171,133.18
2,1653,Chr2,106066526,120.915,108.291,134.203
2,1651,Chr2,105830155,120.971,108.291,134.317
2,1654,Chr2,106115340,121.211,108.414,134.601
2,1658,Chr2,106176173,121.418,108.625,134.941
2,1660,Chr2,106470217,121.887,109.388,134.941
2,1663,Chr2,107610916,123.009,110.086,136.498
2,1666,Chr2,108882500,123.561,110.915,136.86
2,1667,Chr2,110380998,124.169,112.029,136.86
2,1669,Chr2,111364544,124.6,112.954,136.86
2,1670,Chr2,112636455,125.464,114.887,136.921
2,1671,Chr2,112922052,125.561,115.083,136.921
2,1672,Chr2,112993907,126.021,115.585,137.076
2,1673,Chr2,113548478,126.689,115.788,138.216
2,1674,Chr2,113735663,126.877,116.269,138.216
2,1677,Chr2,114363081,128.002,117.051,139.7
2,1675,Chr2,114355438,129.252,118.061,141.175
2,1681,Chr2,115096214,129.398,118.259,141.274
2,1680,Chr2,115058481,129.451,118.348,141.274
2,1684,Chr2,116075633,130.421,119.228,142.364
2,1688,Chr2,116482947,130.729,119.459,142.687
2,1690,Chr2,116882266,131.527,120.193,143.559
2,1693,Chr2,117366778,131.988,120.892,143.814
2,1694,Chr2,117811434,132.701,122.071,144.096
2,1696,Chr2,118312794,132.701,122.071,144.096
2,1698,Chr2,118655141,133.188,122.413,144.743
2,1700,Chr2,119029036,133.477,122.662,145.063
2,1701,Chr2,119239274,133.966,123.387,145.233
2,1702,Chr2,119283183,134.032,123.552,145.233
2,1704,Chr2,119350424,134.154,123.657,145.323
2,1706,Chr2,119505653,134.258,123.776,145.323
2,1707,Chr2,119524960,134.34,123.776,145.617
2,1711,Chr2,120073501,135.037,124.476,146.334
2,1715,Chr2,120834268,135.644,125.04,146.97
2,1716,Chr2,120883961,135.864,125.352,147.096
2,1718,Chr2,121203167,136.413,126.01,147.551
2,1719,Chr2,121329025,136.568,126.313,147.551
2,1722,Chr2,123604597,137.352,127.655,147.739
2,1723,Chr2,123881978,137.551,127.833,148.018
2,1726,Chr2,124466165,138.331,128.664,148.735
2,1729,Chr2,126151267,140.27,131.028,150.342
2,1732,Chr2,127347777,141.133,132.619,150.543
2,1733,Chr2,128148928,142.323,133.099,152.105
2,1738,Chr2,129208961,142.868,133.602,152.905
2,1737,Chr2,129145235,143.142,134.019,152.927
2,1740,Chr2,129273234,143.267,134.019,153.175
2,1743,Chr2,130055907,143.708,134.553,153.524
2,1744,Chr2,131101527,145.444,136.523,155.015
2,1746,Chr2,131532058,145.859,136.746,155.697
